Aalpha,Abeta,Balpha,Bbeta,Hilln,Y
18.994949495,5.1252525253,10.954545455,14.572727273,59.090909091,
17.98989899,6.5323232323,10.552525253,9.1454545455,86.363636364,
10.150505051,12.964646465,14.170707071,6.5323232323,60.101010101,
3.3161616162,18.391919192,13.768686869,18.994949495,112.62626263,
4.3212121212,7.1353535354,11.356565657,6.9343434343,56.060606061,
5.9292929293,19.195959596,13.165656566,9.7484848485,147.97979798,
16.582828283,0.703030303,4.7232323232,17.386868687,84.343434343,
10.552525253,8.7434343434,14.773737374,18.190909091,102.52525253,
13.366666667,2.1101010101,17.587878788,13.768686869,78.282828283,
2.9141414141,13.96969697,7.3363636364,19.396969697,90.404040404,
1.5070707071,13.567676768,15.376767677,9.5474747475,106.56565657,
1.9090909091,7.5373737374,2.5121212121,1.1050505051,65.151515152,
19.798989899,14.371717172,6.7333333333,14.371717172,133.83838384,
17.386868687,16.582828283,12.763636364,4.5222222222,92.424242424,
14.371717172,9.1454545455,18.391919192,1.3060606061,80.303030303,
15.376767677,3.9191919192,12.562626263,7.9393939394,51.01010101,
12.763636364,13.165656566,3.1151515152,11.557575758,113.63636364,
3.9191919192,4.3212121212,14.572727273,0.1,81.313131313,
1.1050505051,18.592929293,1.9090909091,7.1353535354,68.181818182,
12.160606061,8.9444444444,12.964646465,2.3111111111,126.76767677,
13.165656566,2.7131313131,8.7434343434,4.1202020202,125.75757576,
0.301010101,18.190909091,16.984848485,13.366666667,53.03030303,
10.753535354,0.502020202,18.793939394,1.7080808081,134.84848485,
16.180808081,6.1303030303,0.703030303,2.9141414141,139.8989899,
17.587878788,16.783838384,5.3262626263,13.165656566,52.02020202,
4.5222222222,17.587878788,15.175757576,3.5171717172,57.070707071,
18.190909091,14.170707071,7.7383838384,19.195959596,101.51515152,
14.974747475,8.1404040404,20,3.7181818182,146.96969697,
13.567676768,15.97979798,9.7484848485,14.170707071,114.64646465,
15.778787879,9.9494949495,1.3060606061,16.582828283,136.86868687,
19.597979798,11.758585859,18.994949495,8.7434343434,89.393939394,
16.984848485,1.3060606061,14.371717172,8.5424242424,128.78787879,
10.954545455,10.954545455,8.3414141414,1.5070707071,71.212121212,
18.793939394,13.768686869,5.1252525253,4.7232323232,142.92929293,
5.3262626263,3.7181818182,4.1202020202,9.3464646465,66.161616162,
11.758585859,11.356565657,9.3464646465,6.7333333333,99.494949495,
6.9343434343,8.3414141414,15.778787879,17.185858586,135.85858586,
0.502020202,15.577777778,10.351515152,9.9494949495,63.131313131,
12.562626263,2.5121212121,11.95959596,7.3363636364,88.383838384,
15.175757576,1.7080808081,6.1303030303,10.150505051,145.95959596,
8.1404040404,19.396969697,0.502020202,8.1404040404,115.65656566,
3.7181818182,16.381818182,18.592929293,15.97979798,85.353535354,
3.1151515152,2.9141414141,12.160606061,19.798989899,124.74747475,
8.9444444444,5.3262626263,8.5424242424,10.753535354,130.80808081,
15.577777778,12.562626263,14.974747475,14.974747475,82.323232323,
0.904040404,6.9343434343,11.155555556,1.9090909091,120.70707071,
6.3313131313,20,0.904040404,19.597979798,95.454545455,
17.788888889,9.5474747475,2.3111111111,15.778787879,77.272727273,
1.7080808081,14.974747475,7.1353535354,11.758585859,132.82828283,
9.5474747475,6.3313131313,0.1,13.96969697,87.373737374,
12.964646465,10.552525253,1.7080808081,5.7282828283,83.333333333,
13.768686869,0.904040404,7.9393939394,11.155555556,109.5959596,
2.1101010101,4.1202020202,17.185858586,17.788888889,76.262626263,
16.381818182,4.9242424242,3.3161616162,8.3414141414,58.080808081,
10.351515152,2.3111111111,0.301010101,4.9242424242,73.232323232,
19.195959596,6.7333333333,9.5474747475,4.3212121212,140.90909091,
9.1454545455,18.994949495,8.1404040404,0.703030303,141.91919192,
11.95959596,17.386868687,7.5373737374,11.356565657,150,
13.96969697,4.7232323232,17.98989899,13.567676768,143.93939394,
8.7434343434,16.984848485,10.150505051,8.9444444444,110.60606061,
7.5373737374,14.773737374,19.396969697,15.577777778,121.71717172,
9.9494949495,12.361616162,9.9494949495,16.984848485,79.292929293,
6.7333333333,17.98989899,6.3313131313,15.175757576,116.66666667,
11.356565657,1.5070707071,8.9444444444,17.587878788,127.77777778,
